Assembly	Xan3_filtered
# contigs (>= 0 bp)	263
# contigs (>= 1000 bp)	184
# contigs (>= 5000 bp)	155
# contigs (>= 10000 bp)	129
# contigs (>= 25000 bp)	75
# contigs (>= 50000 bp)	37
Total length (>= 0 bp)	5211936
Total length (>= 1000 bp)	5188904
Total length (>= 5000 bp)	5119800
Total length (>= 10000 bp)	4927774
Total length (>= 25000 bp)	4056094
Total length (>= 50000 bp)	2736341
# contigs	193
Largest contig	134834
Total length	5195017
GC (%)	63.80
N50	54983
N90	13937
auN	54922.3
L50	35
L90	108
# N's per 100 kbp	2.31
