Assembly	Athal2_filtered
# contigs (>= 0 bp)	47773
# contigs (>= 1000 bp)	3638
# contigs (>= 5000 bp)	2225
# contigs (>= 10000 bp)	1755
# contigs (>= 25000 bp)	1105
# contigs (>= 50000 bp)	649
Total length (>= 0 bp)	120794576
Total length (>= 1000 bp)	112719490
Total length (>= 5000 bp)	109380940
Total length (>= 10000 bp)	106000993
Total length (>= 25000 bp)	95181712
Total length (>= 50000 bp)	79087208
# contigs	4973
Largest contig	815331
Total length	113615438
GC (%)	35.99
N50	92176
N90	15869
auN	136549.8
L50	320
L90	1456
# N's per 100 kbp	9.00
