Assembly	Csativus3.scaffolds
# contigs (>= 0 bp)	647756
# contigs (>= 1000 bp)	14879
# contigs (>= 5000 bp)	7077
# contigs (>= 10000 bp)	4787
# contigs (>= 25000 bp)	2193
# contigs (>= 50000 bp)	827
Total length (>= 0 bp)	269449850
Total length (>= 1000 bp)	190294043
Total length (>= 5000 bp)	173908239
Total length (>= 10000 bp)	157366563
Total length (>= 25000 bp)	115539336
Total length (>= 50000 bp)	67393417
# contigs	27730
Largest contig	314056
Total length	199129695
GC (%)	32.21
N50	32243
N90	3377
auN	46024.3
L50	1630
L90	8363
# N's per 100 kbp	324.70
